001 ABRIR CUENTA|R8tbUe-1ikc
129 TARJETAS DE CRÉDITO|IgAYsx3f87E
130 TIEMPO DE SERVICIO|0yjLjOr4nvQ
131 TIENE INTERESES POR MORA ATRASO|p_DsC5f8yhU
132 TIENE LAS ESCRITURAS DE SU CASA|qO8FwZKzf4E
133 TRABAJAMOS HASTA LAS CINCO DE LA TARDE|l43mk0uPD9U
134 TRÁMITES|FVTggoUm9bc
135 TRANSFERIR|EeOLgdTcTmQ
136 UN MOMENTO POR FAVOR|QBYz6ew5Gm0
137 VACUNACION|FlzjNi9IkVE
138 VAYA A LA VENTANILLA No  5|5NRXgrtyNLU
139 VAYA A OBRAS PÚBLICAS O PLANIFICACIÓN|6gJDwU0xDBI
140 VAYA AL SEXTO PISO|8yGY75N75fY
141 ZONA, SECTOR DONDE LUGAR|IiZvrkVX7MY
